Model,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Województwo,Rodzaj ogłoszenia,Producent,Czy cena do negocjacji,Roczny przebieg,Wiek
Grand Vitara,Benzyna,SUV,90400,Srebrny,2393.0,Manualna,Polska,169.0,4x4 (stały),po lewej,47900.0,Dolnośląskie,Prywatne,Suzuki,True,6299.651567944291,14
XC 60,Benzyna,SUV,40500,Biały,1969.0,Automatyczna,Stany Zjednoczone,250.0,4x4 (dołączany automatycznie),po lewej,117000.0,Podkarpackie,Prywatne,Volvo,True,6377.952755905603,6
Corsa,Benzyna,Hatchback,184000,Srebrny,1364.0,Manualna,Niemcy,90.0,Brak danych,po lewej,12200.0,Wielkopolskie,Prywatne,Opel,False,10605.187319884782,17
Sandero,LPG,Sedan,113000,Niebieski,1149.0,Manualna,Brak danych,54.0,Brak danych,Brak danych,23000.0,Mazowieckie,Prywatne,Dacia,False,12085.56149732632,9
Land Cruiser,Benzyna,SUV,290000,Biały,5700.0,Automatyczna,Stany Zjednoczone,381.0,4x4 (dołączany automatycznie),po lewej,125000.0,Podlaskie,Firmowe,Toyota,False,21722.846441947713,13
Bravo,Benzyna,Hatchback,219100,Czarny,1368.0,Manualna,Polska,120.0,Na przednie koła,po lewej,14000.0,Małopolskie,Prywatne,Fiat,True,12628.24207492802,17
Caddy,Diesel,Kombi,237500,Biały,1998.0,Manualna,Polska,102.0,Na przednie koła,po lewej,35000.0,Wielkopolskie,Prywatne,Volkswagen,True,25401.069518716824,9
B Klasa,Diesel,Hatchback,302400,Niebieski,1992.0,Manualna,Niemcy,80.0,Na przednie koła,po lewej,6200.0,Pomorskie,Prywatne,Mercedes-Benz,False,14859.950859950926,20
Leon,Diesel,Kombi,174000,Czarny,1968.0,Manualna,Niemcy,150.0,4x4 (dołączany automatycznie),po lewej,44900.0,Mazowieckie,Prywatne,Seat,True,18609.62566844938,9
Fiesta,Diesel,Hatchback,261880,Inny kolor,1600.0,Manualna,Brak danych,95.0,Na przednie koła,Brak danych,16800.0,Lubelskie,Prywatne,Ford,True,19616.4794007492,13
Focus,Diesel,Kombi,222000,Biały,1500.0,Manualna,Brak danych,120.0,Na przednie koła,po lewej,27900.0,Śląskie,Prywatne,Ford,False,23743.31550802162,9
407,Diesel,Sedan,384000,Czerwony,2000.0,Manualna,Brak danych,136.0,Na przednie koła,po lewej,7900.0,Mazowieckie,Prywatne,Peugeot,True,20926.430517711276,18
